threshold,min_component_size,fill_hole_area,postprocess,iou_background,iou_foreground,miou,kappa,accuracy,precision,recall
0.46,1536,0,remove_small_components(min_area=1536),0.9609965423643301,0.8172491982870898,0.8891228703257099,0.8795476775453281,0.9667891976971829,0.9073504007537994,0.8916574415854901
0.47,0,128,fill_small_holes(max_area=128),0.9609949111891427,0.8172452060632064,0.8891200586261745,0.8795444049850363,0.9667878832135882,0.9073336160650958,0.8916688988447865
0.47,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.9610079629295349,0.8172188236586907,0.8891133932941129,0.8795353931505648,0.9667964757642841,0.9077033108659269,0.891280766209249
0.47,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9610063382831575,0.8171677405442572,0.8890870394137074,0.8795037075795659,0.9667936122461116,0.9078767349815854,0.8910528853966007
0.465,1024,0,remove_small_components(min_area=1024),0.9610031765816093,0.8171654477533495,0.8890843121674794,0.8795006489574853,0.966791243780227,0.9078221299400021,0.891102765222115
0.47,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.9610029045957945,0.8171221652683819,0.8890625349320882,0.8794743872362011,0.9667896188908631,0.9079914182002929,0.8908882651939902
0.47,0,0,none,0.9609841556623788,0.8171350645141013,0.8890596100882401,0.8794722390967595,0.966776448104595,0.9075608348276231,0.8913185176389391
0.47,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.9610079960162266,0.8171092791313918,0.8890586375738092,0.8794693107529955,0.9667928866351979,0.9081464103800649,0.8907237947986404
0.475,0,512,fill_small_holes(max_area=512),0.9609959371794141,0.8171085372844159,0.889052237231915,0.8794624713188682,0.9667841164246085,0.9079056788462604,0.8909546178258884
0.465,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9609779352714563,0.8171047125370242,0.8890413239042403,0.8794506270797303,0.9667709356574473,0.907557774369833,0.8912853563037161
0.47,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.961006371545342,0.8170581497450128,0.8890322606451774,0.8794375995379347,0.9667900231170256,0.9083202259550771,0.890495913985992
0.475,0,256,fill_small_holes(max_area=256),0.9609933622781082,0.8170539093680396,0.8890236358230739,0.8794281423277297,0.9667804474483791,0.9080742604408012,0.8907274081497678
0.465,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.9609769345712126,0.8170552972934018,0.8890161159323071,0.8794202738608362,0.9667685791686341,0.9077368815906626,0.8910539100782637
0.47,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.9610029382309165,0.8170125379324791,0.8890077380816979,0.8794082581388193,0.966786029761777,0.908435175135752,0.8903312937833816
0.47,512,0,remove_small_components(min_area=512),0.9609920925394646,0.8170120596623514,0.889002076100908,0.8794022163186939,0.9667781468525661,0.9082176631555116,0.8905397535827559
0.465,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.9609764184083943,0.8170213545606401,0.8889988864845172,0.8793995158273015,0.9667670850289672,0.9078634125452059,0.8908916628226623
0.475,0,128,fill_small_holes(max_area=128),0.9609863871023963,0.8169927201167883,0.8889895536095922,0.8793875207586005,0.9667733709953145,0.9081804344510257,0.8905525710919794
0.475,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.9609896692261054,0.8169192228123673,0.8889544460192363,0.8793449140353271,0.9667733300736535,0.9085439224838608,0.8901160746804055
0.47,1024,0,remove_small_components(min_area=1024),0.9609922843490994,0.8169034072806772,0.8889478458148883,0.879336759875976,0.9667747064387842,0.9086608601866424,0.8899850892039618
0.465,1536,0,remove_small_components(min_area=1536),0.960966500370038,0.81691540263204,0.8889409515010389,0.87933031706292,0.9667563974888521,0.9080907521696316,0.8905469383389779
0.47,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9609784883529694,0.816897730741103,0.8889381095470361,0.8793260120826474,0.9667645109566889,0.9084045129722518,0.8902244033067448
0.475,0,0,none,0.9609747785131605,0.8168793846885464,0.8889270816008534,0.8793129730841822,0.9667612152658539,0.9084036025503592,0.8902034902131546
0.475,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9609870534985286,0.8168643138952009,0.8889256836968648,0.8793103955398316,0.9667696241681205,0.9087130577836409,0.889888625312668
0.475,1024,512,remove_small_components(min_area=1024)+fill_small_holes(max_area=512),0.9609970971447561,0.8168474762049142,0.8889222866748352,0.8793055719238371,0.9667763572784696,0.9089848230748199,0.8896081861206845
0.47,1536,256,remove_small_components(min_area=1536)+fill_small_holes(max_area=256),0.9609768653556521,0.8168465450067397,0.8889117051811959,0.8792942649200605,0.9667616474385164,0.9085785911057204,0.8899965224940966
0.475,1024,256,remove_small_components(min_area=1024)+fill_small_holes(max_area=256),0.9609944813465986,0.8167925272389176,0.8888935042927582,0.879271032154547,0.9667726513729364,0.9091543321368136,0.8893807367529469
0.48,0,512,fill_small_holes(max_area=512),0.9609758215129797,0.8168106819722867,0.8888932517426331,0.8792720713519345,0.9667597091491156,0.9087024913682642,0.8898351081668645
0.475,512,128,remove_small_components(min_area=512)+fill_small_holes(max_area=128),0.9609800796825353,0.8168030581387594,0.8888915689106474,0.8792697329475323,0.9667625477150559,0.9088196071304644,0.8897137882548795
0.47,1536,128,remove_small_components(min_area=1536)+fill_small_holes(max_area=128),0.960973433326321,0.816800892099667,0.888887162712994,0.8792648960629492,0.966757654083268,0.9086937180730772,0.889831902291486
0.48,0,256,fill_small_holes(max_area=256),0.9609781865352567,0.8167775036424654,0.888877845088861,0.8792533088999003,0.9667603329549217,0.9088846529370049,0.8896211414525876
0.475,1024,128,remove_small_components(min_area=1024)+fill_small_holes(max_area=128),0.960987507969208,0.8167312331578238,0.8888593705635159,0.8792303477112992,0.9667655749198718,0.9092611327470717,0.8892058996951584
0.48,0,128,fill_small_holes(max_area=128),0.9609682000521513,0.8167007197892444,0.8888344599206979,0.8792016745045306,0.966750559664596,0.9089929733424889,0.8894263201062251
0.475,512,0,remove_small_components(min_area=512),0.9609684898968185,0.8166900195914089,0.8888292547441137,0.8791953725201682,0.9667504179359169,0.9090421630086508,0.8893665410169254
0.47,1536,0,remove_small_components(min_area=1536),0.9609630180575113,0.8166930916694234,0.8888280548634673,0.8791943181049243,0.9667465483437403,0.9089187990367978,0.8894882983661115
0.475,1024,0,remove_small_components(min_area=1024),0.9609760718899114,0.816619205746091,0.8887976388180012,0.8791566816690595,0.9667535918598584,0.9094829207040569,0.8888611632268932
0.48,512,512,remove_small_components(min_area=512)+fill_small_holes(max_area=512),0.960964585789431,0.8166009455229309,0.888782765656181,0.8791395548603662,0.9667446549683575,0.909323661824777,0.8889916932892645
0.48,0,0,none,0.960957987893878,0.8165931361041084,0.8887755619989932,0.8791313340337745,0.9667396096269976,0.9092213917652852,0.8890802054111617
0.475,1536,512,remove_small_components(min_area=1536)+fill_small_holes(max_area=512),0.9609588156720348,0.8165922888302518,0.8887755522511434,0.879131263049056,0.96674018253025,0.9092416183112908,0.889059861585162
0.48,512,256,remove_small_components(min_area=512)+fill_small_holes(max_area=256),0.9609669488230761,0.8165676872360064,0.8887673180295412,0.8791207470371857,0.966745276777985,0.9095064143664541,0.8887776906212451
